month_date,filings_2020,filings_avg,pct_change
2020-01-01,14536,19944.333333333332,-27.11714271388698
2020-02-01,13307,19665.0,-32.33155352148487
2020-03-01,9055,19405.333333333336,-53.337570427373926
2020-04-01,5,16050.333333333334,-99.96884799900315
2020-05-01,4,17344.999999999996,-99.97693859901989
2020-06-01,10,17991.000000000004,-99.94441665277083
2020-07-01,1904,18330.0,-89.6126568466994
2020-08-01,5742,21093.333333333336,-72.77812895069533
2020-09-01,7153,18033.333333333332,-60.33456561922365
2020-10-01,8126,19749.000000000004,-58.85361284115652
2020-11-01,7524,19550.333333333336,-61.51472268162521
2020-12-01,7645,18610.0,-58.91993551853842
2021-01-01,442,19944.333333333332,-97.78383166480036
2021-02-01,1370,19338.000000000004,-92.915503154411
2021-03-01,3405,19405.333333333336,-82.45327744949842
2021-04-01,4946,16050.333333333334,-69.1844406139021
2021-05-01,5178,17344.999999999996,-70.14701643124819
2021-06-01,5026,17991.000000000004,-72.0638096826191
2021-07-01,3980,18330.0,-78.28696126568467
2021-08-01,4298,21093.333333333336,-79.62389380530975
2021-09-01,2327,18033.333333333332,-87.09611829944546
2021-10-01,3330,19749.000000000004,-83.13838675375969
2021-11-01,3824,19550.333333333336,-80.44023119810404
2021-12-01,3983,18610.0,-78.59752821063944
2022-01-01,5505,19944.333333333332,-72.39817492019453
2022-02-01,6398,19338.000000000004,-66.91488261454133
2022-03-01,9029,19405.333333333336,-53.47155421190052
2022-04-01,8992,16050.333333333334,-43.976241407239726
2022-05-01,9390,17344.999999999996,-45.86336119919284
2022-06-01,9596,17991.000000000004,-46.66221999888835
2022-07-01,9806,18330.0,-46.50300054555373
2022-08-01,9235,21093.333333333336,-56.21839443742099
2022-09-01,10117,18033.333333333332,-43.89833641404805
2022-10-01,9610,19749.000000000004,-51.33930831940858
2022-11-01,9948,19550.333333333336,-49.1159571021807
2022-12-01,10514,18610.0,-43.50349274583557
2023-01-01,11696,19944.333333333332,-41.35677636087109
2023-02-01,9434,19338.000000000004,-51.21522391146966
2023-03-01,12551,19405.333333333336,-35.32190463102928
2023-04-01,10799,16050.333333333334,-32.71790824697307
2023-05-01,11394,17344.999999999996,-34.309599308157956
2023-06-01,11756,17991.000000000004,-34.656216997387595
2023-07-01,10725,18330.0,-41.48936170212766
2023-08-01,12212,21093.333333333336,-42.10493046776233
2023-09-01,10023,18033.333333333332,-44.41959334565619
2023-10-01,10953,19749.000000000004,-44.53896399817713
2023-11-01,10458,19550.333333333336,-46.50730592828767
2023-12-01,10468,18610.0,-43.750671681891454
2024-01-01,10353,19944.333333333332,-48.090518610131525
2024-02-01,9928,19665.0,-49.51436562420544
2024-03-01,10922,19405.333333333336,-43.71650405386836
2024-04-01,10136,16050.333333333334,-36.84866357915724
2024-05-01,10348,17344.999999999996,-40.3401556644566
2024-06-01,9614,17991.000000000004,-46.56216997387584
2024-07-01,10145,18330.0,-44.65357337697763
2024-08-01,9982,21093.333333333336,-52.67699115044249
2024-09-01,9751,18033.333333333332,-45.927911275415894
2024-10-01,9993,19749.000000000004,-49.39996961871488
2024-11-01,9013,19550.333333333336,-53.89848425431792
2024-12-01,9564,18610.0,-48.60827512090274
2025-01-01,9238,19944.333333333332,-53.68107900322564
2025-02-01,7573,19338.000000000004,-60.8387630571931
2025-03-01,5387,19405.333333333336,-72.23959049058678
2025-04-01,555,7213.000000000001,-92.30555940662693
