type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated,month_date,year,month_num,pct_change
Zip Code,10001,White,2020-01-01,0,55.0,2025-04-12,2020-01-01,2020,1,-100.0
Zip Code,10001,White,2020-02-01,0,49.3333333333333,2025-04-12,2020-02-01,2020,2,-100.0
Zip Code,10001,White,2020-03-01,0,48.3333333333333,2025-04-12,2020-03-01,2020,3,-100.0
Zip Code,10001,White,2020-04-01,0,41.6666666666667,2025-04-12,2020-04-01,2020,4,-100.0
Zip Code,10001,White,2020-05-01,0,42.0,2025-04-12,2020-05-01,2020,5,-100.0
Zip Code,10001,White,2020-06-01,0,55.3333333333333,2025-04-12,2020-06-01,2020,6,-100.0
Zip Code,10001,White,2020-07-01,0,64.6666666666667,2025-04-12,2020-07-01,2020,7,-100.0
Zip Code,10001,White,2020-08-01,0,59.3333333333333,2025-04-12,2020-08-01,2020,8,-100.0
Zip Code,10001,White,2020-09-01,0,45.3333333333333,2025-04-12,2020-09-01,2020,9,-100.0
Zip Code,10001,White,2020-10-01,0,53.0,2025-04-12,2020-10-01,2020,10,-100.0
Zip Code,10001,White,2020-11-01,0,46.6666666666667,2025-04-12,2020-11-01,2020,11,-100.0
Zip Code,10001,White,2020-12-01,0,48.0,2025-04-12,2020-12-01,2020,12,-100.0
Zip Code,10001,White,2021-01-01,0,55.0,2025-04-12,2021-01-01,2021,1,-100.0
Zip Code,10001,White,2021-02-01,0,48.0,2025-04-12,2021-02-01,2021,2,-100.0
Zip Code,10001,White,2021-03-01,0,48.3333333333333,2025-04-12,2021-03-01,2021,3,-100.0
Zip Code,10001,White,2021-04-01,0,41.6666666666667,2025-04-12,2021-04-01,2021,4,-100.0
Zip Code,10001,White,2021-05-01,0,42.0,2025-04-12,2021-05-01,2021,5,-100.0
Zip Code,10001,White,2021-06-01,0,55.3333333333333,2025-04-12,2021-06-01,2021,6,-100.0
Zip Code,10001,White,2021-07-01,0,64.6666666666667,2025-04-12,2021-07-01,2021,7,-100.0
Zip Code,10001,White,2021-08-01,0,59.3333333333333,2025-04-12,2021-08-01,2021,8,-100.0
Zip Code,10001,White,2021-09-01,0,45.3333333333333,2025-04-12,2021-09-01,2021,9,-100.0
Zip Code,10001,White,2021-10-01,0,53.0,2025-04-12,2021-10-01,2021,10,-100.0
Zip Code,10001,White,2021-11-01,0,46.6666666666667,2025-04-12,2021-11-01,2021,11,-100.0
Zip Code,10001,White,2021-12-01,0,48.0,2025-04-12,2021-12-01,2021,12,-100.0
Zip Code,10001,White,2022-01-01,0,55.0,2025-04-12,2022-01-01,2022,1,-100.0
Zip Code,10001,White,2022-02-01,0,48.0,2025-04-12,2022-02-01,2022,2,-100.0
Zip Code,10001,White,2022-03-01,0,48.3333333333333,2025-04-12,2022-03-01,2022,3,-100.0
Zip Code,10001,White,2022-04-01,0,41.6666666666667,2025-04-12,2022-04-01,2022,4,-100.0
Zip Code,10001,White,2022-05-01,0,42.0,2025-04-12,2022-05-01,2022,5,-100.0
Zip Code,10001,White,2022-06-01,0,55.3333333333333,2025-04-12,2022-06-01,2022,6,-100.0
Zip Code,10001,White,2022-07-01,0,64.6666666666667,2025-04-12,2022-07-01,2022,7,-100.0
Zip Code,10001,White,2022-08-01,0,59.3333333333333,2025-04-12,2022-08-01,2022,8,-100.0
Zip Code,10001,White,2022-09-01,0,45.3333333333333,2025-04-12,2022-09-01,2022,9,-100.0
Zip Code,10001,White,2022-10-01,0,53.0,2025-04-12,2022-10-01,2022,10,-100.0
Zip Code,10001,White,2022-11-01,0,46.6666666666667,2025-04-12,2022-11-01,2022,11,-100.0
Zip Code,10001,White,2022-12-01,0,48.0,2025-04-12,2022-12-01,2022,12,-100.0
Zip Code,10001,White,2023-01-01,0,55.0,2025-04-12,2023-01-01,2023,1,-100.0
Zip Code,10001,White,2023-02-01,0,48.0,2025-04-12,2023-02-01,2023,2,-100.0
Zip Code,10001,White,2023-03-01,0,48.3333333333333,2025-04-12,2023-03-01,2023,3,-100.0
Zip Code,10001,White,2023-04-01,0,41.6666666666667,2025-04-12,2023-04-01,2023,4,-100.0
Zip Code,10001,White,2023-05-01,0,42.0,2025-04-12,2023-05-01,2023,5,-100.0
Zip Code,10001,White,2023-06-01,0,55.3333333333333,2025-04-12,2023-06-01,2023,6,-100.0
Zip Code,10001,White,2023-07-01,0,64.6666666666667,2025-04-12,2023-07-01,2023,7,-100.0
Zip Code,10001,White,2023-08-01,0,59.3333333333333,2025-04-12,2023-08-01,2023,8,-100.0
Zip Code,10001,White,2023-09-01,0,45.3333333333333,2025-04-12,2023-09-01,2023,9,-100.0
Zip Code,10001,White,2023-10-01,0,53.0,2025-04-12,2023-10-01,2023,10,-100.0
Zip Code,10001,White,2023-11-01,0,46.6666666666667,2025-04-12,2023-11-01,2023,11,-100.0
Zip Code,10001,White,2023-12-01,0,48.0,2025-04-12,2023-12-01,2023,12,-100.0
Zip Code,10001,White,2024-01-01,0,55.0,2025-04-12,2024-01-01,2024,1,-100.0
Zip Code,10001,White,2024-02-01,0,49.3333333333333,2025-04-12,2024-02-01,2024,2,-100.0
Zip Code,10001,White,2024-03-01,0,48.3333333333333,2025-04-12,2024-03-01,2024,3,-100.0
Zip Code,10001,White,2024-04-01,0,41.6666666666667,2025-04-12,2024-04-01,2024,4,-100.0
